Tipo ANBIMA;Limite Mínimo;Limite Máximo;;
Ações Índice Ativo;-3,00%;3,00%;;
Ações Indexados;-3,01%;3,01%;;
Renda Fixa Duração Média Grau de Invest.;-3,02%;3,02%;;
Ações Livre;-3,03%;3,03%;;
Renda Fixa Duração Baixa Grau de Invest.;-3,04%;3,04%;;
Renda Fixa Duração Baixa Soberano;-3,05%;3,05%;;
Renda Fixa Duração Livre Grau de Invest.;-3,06%;3,06%;;
Multimercados Juros e Moedas;-3,07%;3,07%;;
Multimercados Livre;-3,08%;3,08%;;
Renda Fixa Dívida Externa;-3,09%;3,09%;;
Cambial;-3,10%;3,10%;;
Renda Fixa Duração Livre Soberano;-3,11%;3,11%;;
Multimercados Balanceados;-3,12%;3,12%;;
Ações Valor/Crescimento;-3,13%;3,13%;;
Ações Small Caps;-3,14%;3,14%;;
Renda Fixa Duração Livre Crédito Livre;-3,15%;3,15%;;
Renda Fixa Duração Baixa Crédito Livre;-3,16%;3,16%;;
Multimercados Macro;-3,17%;3,17%;;
Ações Dividendos;-3,18%;3,18%;;
Previdência RF Duração Baixa Soberano;-3,19%;3,19%;;
Previdência RF Duração Livre Soberano;-3,20%;3,20%;;
Previdência Balanceados de 15-30;-3,21%;3,21%;;
Previdência Balanceados até 15;-3,22%;3,22%;;
Previdência RF Duração Média Grau de Inv;-3,23%;3,23%;;
Renda Fixa Duração Alta Grau de Invest.;-3,24%;3,24%;;
Previdência Multimercado Livre;-3,25%;3,25%;;
Previdência Balanceados de 30-49;-3,26%;3,26%;;
Previdência RF Duração Livre Crédito Liv;-3,27%;3,27%;;
Previdência RF Duração Baixa Grau de Inv;-3,28%;3,28%;;
Renda Fixa Simples;-3,29%;3,29%;;
Previdência RF Duração Livre Grau de Inv;-3,30%;3,30%;;
Multimercados Invest. no Exterior;-3,31%;3,31%;;
Renda Fixa Indexados;-3,32%;3,32%;;
Fundos de Mono Ação;-3,33%;3,33%;;
Ações FMP - FGTS;-3,34%;3,34%;;
Previdência RF Duração Alta Grau de Inv.;-3,35%;3,35%;;
Previdência RF Indexados;-3,36%;3,36%;;
Renda Fixa Duração Média Soberano;-3,37%;3,37%;;
Multimercados L/S - Direcional;-3,38%;3,38%;;
Renda Fixa Duração Alta Soberano;-3,39%;3,39%;;
Multimercados Dinâmico;-3,40%;3,40%;;
Ações Invest. no Exterior;-3,41%;3,41%;;
Fechados de Ações;-3,42%;3,42%;;
Previdência Multimercados Juros e Moedas;-3,43%;3,43%;;
ETF – Renda Variável;-3,44%;3,44%;;
Multimercados L/S - Neutro;-3,45%;3,45%;;
Renda Fixa Duração Média Crédito Livre;-3,46%;3,46%;;
Previdência Ações Ativo;-3,47%;3,47%;;
Previdência Ações Indexados;-3,48%;3,48%;;
Ações Sustentabilidade/Governança;-3,49%;3,49%;;
Previdência Balanceados Data Alvo;-3,50%;3,50%;;
Fundos de Participações;-3,51%;3,51%;;
Multimercados Estrat. Específica;-3,52%;3,52%;;
FIDC Outros;-3,53%;3,53%;;
Renda Fixa Invest. no Exterior;-3,54%;3,54%;;
Previdência RF Duração Média Crédito Liv;-3,55%;3,55%;;
FII Desenv. para Venda Gestão Passiva;-3,56%;3,56%;;
FII TVM Gestão Ativa;-3,57%;3,57%;;
FII Desenv. para Renda Gestão Ativa;-3,58%;3,58%;;
Renda Fixa Duração Alta Crédito Livre;-3,59%;3,59%;;
Previdência RF Duração Baixa Crédito Liv;-3,60%;3,60%;;
Previdência RF Data Alvo;-3,61%;3,61%;;
ETF – Renda Fixa;-3,62%;3,62%;;
Previdência Balanceados acima de 49;-3,63%;3,63%;;
FII Hibrido Gestão Ativa;-3,64%;3,64%;;
Multimercados Capital Protegido;-3,65%;3,65%;;
FII Desenv. para Venda Gestão Ativa;-3,66%;3,66%;;
Previdência RF Duração Alta Crédito Livr;-3,67%;3,67%;;
Ações Setoriais;-3,68%;3,68%;;
FIDC Financeiro;-3,69%;3,69%;;
FIDC Fomento Mercantil;-3,70%;3,70%;;
FIDC Agro, Indústria e Comércio;-3,71%;3,71%;;
Previdência RF Duração Alta Soberano;-3,72%;3,72%;;
FII Híbrido Gestão Passiva;-3,73%;3,73%;;
Off Shore Renda Variável;-3,74%;3,74%;;
Off Shore Renda Mista;-3,75%;3,75%;;
Off Shore Renda Fixa;-3,76%;3,76%;;
Previdência RF Duração Média Soberano;-3,77%;3,77%;;
FII Renda Gestão Ativa;-3,78%;3,78%;;
FII TVM Gestão Passiva;-3,79%;3,79%;;
Multimercados Trading;-3,80%;3,80%;;
FII Renda Gestão Passiva;-3,81%;3,81%;;
FII Desenv. para Renda Gestão Passiva;-3,82%;3,82%;;
